word,score,weights
hole,6.533929824561404,1
spent,6.534519649648712,1
stealing,6.535118768283294,1
dollar,6.53543373078521,1
reason,6.536333366493331,1
yard,6.536871357202331,1
adult,6.537135278091028,1
stack,6.537294611117038,1
educational,6.538793006004945,1
recognize,6.539704968944099,1
outright,6.540444162436549,1
cash,6.540934288446215,1
decently,6.54257085106383,1
eliminate,6.54350197029703,1
gambling,6.543685280099041,1
particularly,6.5441731524957705,1
error,6.544426272045856,1
symbol,6.5448973178148275,1
engage,6.544996285979573,1
outcome,6.545226382369147,1
move,6.545300247988652,1
convince,6.545867988032909,1
happening,6.546118669298653,1
square,6.5462864649004056,1
saved,6.546557268722467,1
indicate,6.546805539215686,1
fare,6.54698468875813,1
shot,6.547927390086469,1
ninja,6.548052542001461,1
limiting,6.548221008771929,1
plain,6.548345330380213,1
coherent,6.548430451127819,1
reduced,6.548923528715216,1
written,6.549865417482642,1
throw,6.550366802030457,1
assigned,6.552845217794254,1
catching,6.553389680772086,1
narrow,6.553861889927311,1
pain,6.553919581387303,1
ran,6.553953566666667,1
ago,6.554353814915087,1
calling,6.555018639798488,1
deduce,6.555855577047066,1
correctly,6.556124309412862,1
guy,6.556202086400889,1
colour,6.556237984578313,1
disaster,6.556767990074442,1
probability,6.556854509532062,1
functional,6.557778218043429,1
occasional,6.558004511278196,1
finger,6.558025099479645,1
cheap,6.558424824682283,1
recover,6.55997766610832,1
restricted,6.561092783505154,1
mild,6.563724847560976,1
meaning,6.564381738277419,1
pretzel,6.566081446540881,1
calculating,6.568065644850818,1
long,6.568220800293828,1
lastly,6.568435775451951,1
swap,6.568794153424657,1
body,6.569049088252484,1
thief,6.5695314954486355,1
thankfully,6.570092877767084,1
effectively,6.571209661452753,1
maze,6.571622453058753,1
hell,6.572058234758872,1
passing,6.572566375654776,1
zombie,6.573024092598097,1
remove,6.574444972254484,1
deterministic,6.574483796296296,1
hope,6.57483446233566,1
stale,6.575003206459054,1
oddly,6.575531780688985,1
mechanically,6.576342069896743,1
distributed,6.576457249070632,1
dice,6.57732528415777,1
bunch,6.579065157434174,1
dropping,6.579261860949209,1
underneath,6.579658457550227,1
haunt,6.580300508552936,1
mood,6.580554233794413,1
pretty,6.581334116737704,1
oversized,6.581336585365855,1
exchange,6.582293659545142,1
vote,6.583400306820865,1
optimal,6.583809821844822,1
urge,6.585110608020699,1
vastly,6.585539200340281,1
sat,6.587218100890207,1
contest,6.587605490196078,1
serve,6.588037181467182,1
odds,6.588108028114019,1
bust,6.588362023939064,1
